Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
290;Karl Hellmer;Darsteller;2;25;4;0.389469;0.419407;515.636342;0.284151;25;;
291;Paul Markwitz;Bauten;2;27;4;0.393954;0.421234;384.086558;0.269889;24;;
920;Veit Harlan;Regie/Drehbuch;4;48;4;0.405432;0.437881;1040.32396;0.415412;35;;
294;Karl Böhm;Bauten;2;22;4;0.385446;0.410577;333.474217;0.241209;20;;
295;Paul May;Schnitt;2;28;4;0.350555;0.374543;86.500594;0.168576;23;;
296;Otto Tressler;Darsteller;2;29;4;0.387082;0.415043;865.318694;0.302914;28;;
297;Otto Fassler;Darsteller;2;27;4;0.369986;0.392712;40.096468;0.238025;19;;
298;Käthe Dorsch;Darsteller;2;27;4;0.380621;0.408546;769.945828;0.274713;27;;
299;L. A. C. Müller;Drehbuch;2;26;4;0.369653;0.395453;80.952754;0.208715;20;;
300;Olga Tschechowa;Darsteller;2;23;4;0.365865;0.391799;614.560192;0.167919;21;;
301;O. E. Hasse;Darsteller;2;25;4;0.3891;0.414535;240.826887;0.292022;22;;
302;Nicolas Farkas;Drehbuch/Regie;2;36;4;0.352512;0.374645;0;0.178479;18;;
303;Lilian Harvey;Darsteller;2;26;4;0.359457;0.381648;56.687029;0.165341;18;;
304;Mila Parély;Darsteller;2;26;4;0.375572;0.402253;537.093455;0.252685;23;;
