Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
159,Albert Benitz,Kamera,3,53,5,0.347826,0.385417,5543.555618,0.178673,41,,
160,Otto Baecker,Kamera,3,39,4,0.410143,0.445116,1446.94392,0.447745,38,,
161,Otto Hunte,Bauten,3,40,4,0.420814,0.456989,1305.653369,0.4488,38,,
162,Albert Matterstock,Darsteller,3,40,4,0.408567,0.443436,914.922072,0.454212,36,,
163,Wolfgang Becker,Schnitt,3,41,4,0.402815,0.440972,979.472461,0.454229,38,,
164,Eduard von Winterstein,Darsteller,3,30,4,0.378433,0.409386,697.624917,0.290475,29,,
165,Bernd Hofmann,Drehbuch,3,45,4,0.426117,0.46539,1852.809134,0.529013,44,,
166,Paul Dahlke,Darsteller,3,40,4,0.393235,0.429323,569.777753,0.465795,36,,
167,Willy Fritsch,Darsteller,3,40,4,0.387097,0.423499,836.544136,0.388672,36,,
168,Willy Birgel,Darsteller,3,41,4,0.389937,0.425291,1132.195157,0.362795,35,,
169,Walter Forster,Drehbuch,3,39,4,0.414023,0.450829,1300.106153,0.539932,39,,
170,Theo Mackeben,Musik,3,38,4,0.409241,0.446797,1170.954114,0.490271,37,,
171,Paul Klinger,Darsteller,3,39,4,0.416573,0.454301,1955.871482,0.521866,38,,
172,Paul Hoffmann,Darsteller,3,40,4,0.419155,0.455085,1438.690422,0.54374,37,,
174,Willi Depenau,Bauten,3,45,4,0.406335,0.442876,811.232203,0.453021,36,,
175,Paul Markwitz,Bauten,3,38,4,0.395324,0.432012,1553.550171,0.365631,34,,
176,Trude Hesterberg,Darsteller,2,31,4,0.384099,0.415547,326.793924,0.358854,28,,
177,Hermine Ziegler,Darsteller,2,27,4,0.379012,0.40849,167.399259,0.311662,23,,
178,Sybille Schmitz,Darsteller,2,24,5,0.391167,0.423387,733.741149,0.278679,23,,
179,Hilde von Stolz,Darsteller,2,21,5,0.343649,0.373387,735.682775,0.114349,21,,
180,Helmuth Schönnenbeck,Schnitt,2,24,4,0.3875,0.418123,176.23581,0.310548,22,,
181,Herbert B. Fredersdorf,Schnitt,2,26,4,0.397012,0.428315,437.177894,0.380247,25,,
183,Hilde Sessak,Darsteller,2,28,4,0.369598,0.39897,524.472622,0.223393,25,,
184,Hilde Schneider,Darsteller,2,30,4,0.402597,0.43414,195.869747,0.436989,27,,
185,Victor Janson,Regie,2,25,4,0.387702,0.419243,727.980062,0.32162,25,,
186,Viktor Staal,Darsteller,2,26,4,0.393443,0.423275,515.659518,0.294485,25,,
187,Waldemar Gaede,Schnitt,2,32,4,0.393651,0.425963,2738.594398,0.277756,28,,
188,Theodor Loos,Darsteller,2,19,4,0.366502,0.391801,250.72249,0.159976,18,,
189,Trude Haefelin,Darsteller,2,25,4,0.366142,0.394153,442.229693,0.205644,22,,
190,Heinrich Weidemann,Bauten,2,27,4,0.389937,0.421707,444.893803,0.305004,27,,
191,Helmut Brandis,Drehbuch,2,27,4,0.380174,0.409722,119.943242,0.29016,23,,
192,Hans Leibelt,Darsteller,2,28,4,0.370887,0.400874,1162.140488,0.189986,25,,
193,Günther Rittau,Kamera,2,25,4,0.368135,0.393033,415.967964,0.199831,22,,
194,Wolfgang Liebeneiner,Regie,2,28,4,0.390346,0.422603,780.155707,0.289035,27,,
195,Wolf Neumeister,Drehbuch,2,23,4,0.379592,0.407258,492.123219,0.222562,22,,
196,Hans Adalbert Schlettow,Darsteller,2,29,4,0.377665,0.407034,132.615798,0.33302,24,,
197,Willy Schiller,Bauten,2,28,4,0.409016,0.441084,443.458889,0.334575,26,,
198,Hans Albers,Darsteller,2,27,4,0.388715,0.421259,958.332813,0.273465,26,,
200,Hans Ebert,Musik,2,26,5,0.344444,0.371707,24.641244,0.207738,19,,
201,Willi A. Herrmann,Bauten,2,23,4,0.366683,0.393033,421.601053,0.15883,20,,
