Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
1139,Karl Hartl,Drehbuch/Schnitt/Regie,5,65,5,0.401308,0.435618,636.285594,0.354731,39
412,Werner Bohne,Kamera,2,29,5,0.368942,0.397587,801.468411,0.150309,27
413,Annabella,Darsteller,2,29,5,0.372234,0.401422,449.543676,0.168528,27
1122,Richard Oswald,Produzent/Regie,10,118,4,0.413889,0.447507,1476.02231,0.378467,47
416,Aribert Mog,Darsteller,2,23,5,0.355245,0.377932,1044.826224,0.078446,21
417,August Rinaldi,Bauten,2,25,5,0.349883,0.374577,1921.860098,0.091215,25
418,Waldemar Ronger,Drehbuch/Regie,2,24,6,0.318473,0.337408,0,0.032418,11
419,Bernhard Goetzke,Darsteller,2,29,5,0.363415,0.390157,3361.824088,0.132397,28
420,Václav Wasserman,Drehbuch,2,29,4,0.365196,0.389581,254.68687,0.178631,23
421,Vladimir Striževskij,Drehbuch/Regie,2,22,5,0.346627,0.366747,0,0.090712,11
422,Betty Bird,Darsteller,2,25,5,0.382612,0.410131,695.358369,0.188567,24
423,Boris de Fast,Darsteller,2,22,5,0.363288,0.3872,1335.090452,0.098545,22
424,Brigitte Helm,Darsteller,2,35,5,0.373835,0.404538,1146.496698,0.207941,33
425,Viktor Gluck,Kamera,2,25,5,0.370252,0.396149,808.261478,0.131048,25
426,Bruno Kastner,Darsteller,2,27,5,0.386296,0.415804,492.001819,0.213916,26
427,Camilla von Hollay,Darsteller,2,31,5,0.401154,0.431144,667.361912,0.278178,31
428,Carl Auen,Darsteller,2,14,5,0.346857,0.368105,57.067709,0.073584,11
429,Angelo Ferrari,Darsteller,2,23,5,0.365068,0.390236,640.640386,0.137878,21
1135,F. W. Murnau,Drehbuch/Regie,2,24,6,0.318473,0.337408,0,0.032418,11
1146,Franz Lehár,Musik/Darsteller,3,35,5,0.375856,0.40278,385.882457,0.171103,23
