Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
540;Rudolf Saklikower;Drehbuch;2;19;5;0.352596;0.37565;716.913959;0.162011;18
541;Rolf Brunner;Darsteller;2;13;5;0.327685;0.347225;1914.381926;0.068148;13
543;Erika Glässner;Darsteller;2;17;5;0.346282;0.368712;394.704762;0.17715;17
544;Felix Braun;Kamera;2;16;1;1;1;0.142857;0.005926;8
545;Martha Angerstein;Darsteller;2;23;5;0.360848;0.388387;320.000613;0.254857;21
546;Ria Jende;Darsteller;2;17;5;0.342232;0.365863;474.668816;0.135292;16
547;Karl A. Römer;Darsteller;2;15;5;0.307962;0.327257;269.601723;0.061453;14
548;Fritz Biller;Kamera;2;21;5;0.34254;0.365498;850.931582;0.137845;21
549;Fritz Bernhardt;Regie;2;22;5;0.331301;0.35038;33.775217;0.11179;15
550;Friedrich Sieburg;Drehbuch;2;20;5;0.347972;0.372802;864.055315;0.173116;20
551;Friedrich Paulmann;Kamera;2;12;4;0.350969;0.368902;1595.036834;0.110762;11
552;Friedrich Berger;Darsteller/Regie;2;16;5;0.325349;0.343325;0;0.08005;7
553;Fred Stranz;Darsteller/Regie;2;11;6;0.269231;0.285627;422.755088;0.017765;11
1317;Josef Berger;Darsteller/Drehbuch/Regie;9;61;6;0.315455;0.33995;1324.354173;0.084299;23
555;Franz Verdier;Darsteller;2;17;5;0.315979;0.337087;815.666909;0.068602;16
556;Franz Seemann;Bauten;2;18;4;0.362683;0.384823;333.736078;0.175031;16
557;Franz Schulz;Drehbuch;2;13;5;0.328251;0.350424;195.161675;0.104209;13
558;Franz Rauch;Drehbuch;2;17;4;0.364886;0.386284;281.777096;0.1697;14
559;Franz Koch;Kamera;2;16;6;0.275937;0.293047;199.241154;0.032285;14
560;Ferdinand Robert;Darsteller;2;19;5;0.361878;0.386459;853.011904;0.166819;18
561;Robert Pirk;Darsteller;2;16;1;1;1;0.142857;0.005926;8
562;Robert Reinert;Regie;2;28;5;0.319161;0.341908;0.071429;0.117742;15
563;Karl Grune;Regie;2;21;5;0.345862;0.371735;199.672399;0.218242;19
564;Erna Böwe;Darsteller;2;18;5;0.345967;0.369077;419.227986;0.143745;16
565;Rolf Prasch;Darsteller;2;15;5;0.338777;0.35986;923.623843;0.123059;15
566;Kurt Katsch;Darsteller;2;21;5;0.345758;0.371633;451.814072;0.162804;20
567;Erich Grimmler;Kamera;2;25;5;0.341515;0.364257;180.49395;0.161728;21
568;Emil Stammer;Darsteller;2;18;4;0.363029;0.38475;577.002544;0.208284;17
569;Elsa Wagner;Darsteller;2;18;5;0.361305;0.384633;232.444853;0.195234;17
570;Erhardt;Regie;2;0;0;0;0;0;0;0
571;Emil Rameau;Darsteller;2;11;5;0.339887;0.359524;190.294089;0.104095;10
572;Simon Konarski;Drehbuch/Regie;2;16;5;0.350107;0.36842;0;0.106548;8
573;Kurt Rottenburg;Darsteller;2;18;5;0.319429;0.339162;2.376706;0.090783;10
575;Sazy von Blondel;Darsteller;2;15;5;0.350322;0.373561;369.848137;0.137096;15
576;Erich Waschneck;Kamera;2;20;5;0.345862;0.370844;141.8489;0.19787;17
577;Kurt Holm;Darsteller;2;28;5;0.319161;0.341908;0.071429;0.117742;15
578;Ellen Plessow;Darsteller;2;15;5;0.316329;0.337277;2153.096723;0.079929;15
579;Emil Heyse;Darsteller;2;18;5;0.368183;0.390914;234.080227;0.195402;17
