Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
207;Josef Pelz von Felinau;Drehbuch;3;40;4;0.387198;0.417726;1173.712173;0.159821;32;0.471774;234;;
208;Georg C. Klaren;Drehbuch;3;42;4;0.412297;0.443834;264.66014;0.326045;35;0.487395;290;;
209;Walter von Ercert;Produzent;3;45;4;0.40725;0.441715;759.740378;0.268341;39;0.415655;308;;
210;Emil Burri;Drehbuch;3;38;4;0.389815;0.417823;427.645863;0.179956;29;0.514778;209;;
211;Paul Wegener;Regie;3;28;4;0.392468;0.419942;196.069691;0.186859;25;0.58;174;;
212;Joe Stöckel;Drehbuch/Darsteller;5;60;5;0.399723;0.434971;1259.043237;0.248359;39;0.376518;279;;
213;Georg Krause;Kamera;3;39;5;0.376742;0.411272;2473.389361;0.129277;36;0.320635;202;;
214;Hans Brausewetter;Darsteller;3;40;4;0.421335;0.455395;1297.49635;0.323071;38;0.371266;261;;
215;Ellen Frank;Darsteller;3;42;5;0.409758;0.445087;919.33961;0.241148;35;0.426891;254;;
216;Charlotte Susa;Darsteller;3;30;4;0.417673;0.446724;699.02498;0.235963;29;0.364532;148;;
217;Hans Deppe;Regie;3;39;4;0.394797;0.428131;1234.713335;0.191125;35;0.391597;233;;
218;Marianne Hoppe;Darsteller;3;42;4;0.404584;0.439114;1584.352766;0.256529;40;0.334615;261;;
219;Walter Jerven;Drehbuch;3;41;4;0.390519;0.423314;647.402324;0.212435;34;0.442068;248;;
220;Walter Janssen;Regie/Darsteller;3;41;4;0.406867;0.439981;1092.846012;0.242808;39;0.34143;253;;
221;Vahayn Badal;Produzent;3;39;4;0.408983;0.438247;142.834005;0.283859;29;0.539409;219;;
222;Marieluise Claudius;Darsteller;3;40;5;0.401206;0.436994;1328.625103;0.194253;37;0.372372;248;;
223;Eduard Wesener;Darsteller;3;36;5;0.38964;0.422447;552.4862;0.16462;32;0.409274;203;;
224;Hans Carste;Musik;3;36;4;0.409371;0.440173;774.427223;0.228166;33;0.412879;218;;
225;Max Michel;Schnitt;3;35;4;0.369185;0.395665;701.247569;0.0962;28;0.457672;173;;
226;Mathias Wieman;Darsteller;3;37;4;0.392646;0.423314;1391.99217;0.193364;34;0.349376;196;;
227;Waldemar Gaede;Schnitt;3;41;4;0.406867;0.438536;1146.676814;0.253131;36;0.388889;245;;
228;Eberhard Klagemann;Produzent;3;39;4;0.40102;0.430154;200.049018;0.25125;28;0.566138;214;;
229;Weiß-Ferdl;Darsteller;3;32;5;0.399169;0.430829;859.836458;0.173081;30;0.386207;168;;
230;Theo Mackeben;Musik;3;42;4;0.386161;0.418979;1413.565734;0.177123;34;0.431373;242;;
231;Dorit Kreysler;Darsteller;3;39;4;0.410926;0.444701;881.927583;0.271338;38;0.357041;251;;
232;Gerhard Lamprecht;Regie;3;37;4;0.393898;0.421773;378.857447;0.178374;29;0.497537;202;;
233;Karl Böhm;Bauten;3;40;4;0.409371;0.443353;1012.724164;0.260125;37;0.358859;239;;
234;Olaf Bach;Darsteller;3;42;5;0.379386;0.41474;1600.453911;0.173938;37;0.393393;262;;
235;Erika Glässner;Darsteller;3;38;5;0.411122;0.445568;756.283059;0.292558;36;0.377778;238;;
236;Hanns Beck-Gaden;Darsteller/Drehbuch/Regie;3;21;5;0.331037;0.347996;0;0.029455;7;1;21;;
237;Erik Ode;Darsteller;3;40;4;0.426739;0.458671;834.562628;0.339685;38;0.394026;277;;
238;Carl Otto Bartning;Schnitt;3;53;5;0.399169;0.439499;2249.482743;0.23462;49;0.342687;403;;
239;Herbert Selpin;Regie;3;41;5;0.39825;0.431792;320.789319;0.244879;32;0.530242;263;;
240;Stepán Kopecký;Bauten;3;44;4;0.405913;0.440848;1097.863133;0.292054;40;0.365385;285;;
241;Ernst Dumcke;Darsteller;3;38;4;0.427794;0.458863;1067.210149;0.312579;36;0.371429;234;;
242;Joseph Dalmann;Drehbuch;3;32;5;0.368556;0.397592;280.320141;0.11882;25;0.506667;152;;
243;Erich Palme;Schnitt;3;38;4;0.389991;0.420424;730.833118;0.13969;29;0.416256;169;;
244;Werner Bohne;Kamera;3;42;5;0.384786;0.417534;445.274415;0.178083;31;0.52043;242;;
